module_id,module_name,route,primary_classification,secondary_classification,tenant_maturity_level,current_status,core_dependency,eventrix_dependency,legal_hardcode_count,main_risk,recommended_destination,evidence,notes
M51,Custom Fields,/app/settings/custom-fields,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/CustomFields.tsx,
M52,Custom Forms,/app/settings/custom-forms,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/CustomForms.tsx,
M53,Business Units,/app/settings/business-units,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/BusinessUnits.tsx,
M54,Industries,/app/settings/industries,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/Industries.tsx,
M55,Origins,/app/settings/origins,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/Origins.tsx,
M56,Tags,/app/settings/tags,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/,
M57,Loss Reasons,/app/settings/loss-reasons,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/LossReasons.tsx,
M58,Win/Loss Reasons,/app/settings/win-loss-reasons,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/,
M59,Qualification Framework,/app/settings/qualification,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/QualificationFrameworkPage.tsx,
M60,Permissions,/app/settings/permissions,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/PermissionSettings.tsx,
M61,Teams & Users,/app/settings/teams-users,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/TeamsAndUsers.tsx,
M62,Users,/app/settings/users,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/,
M63,API Keys,/app/settings/api-keys,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/ApiKeysSettings.tsx,
M64,Integrations,/app/settings/integrations,TENANT_CONFIG,OPTIONAL_INTEGRATION,3,active,none,soft,0,low,TENANT_CONFIG,src/pages/settings/Integrations.tsx,
M65,Data Management,/app/settings/data-management,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/DataManagement.tsx,
M66,Security Settings,/app/settings/security,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/SecuritySettings.tsx,
M67,Organization Settings,/app/settings/organization,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/OrganizationSettings.tsx,
M68,Billing Overview,/app/settings/billing,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/billing/,
M69,Notification Preferences,/app/settings/notifications,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/NotificationPreferences.tsx,
M70,Financial Audit,/app/settings/auditoria-financeira-propostas,CORE_UNIVERSAL,,3,active,M10,none,0,none,CORE_UNIVERSAL,src/pages/,
M71,GTM CEO,/app/gtm/ceo,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/gtm/,
M72,GTM AE,/app/gtm/ae,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/gtm/AEDashboard.tsx,
M73,GTM SDR,/app/gtm/sdr,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/components/dashboards/sdr/,
M74,GTM Manager,/app/gtm/manager,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/gtm/,
M75,GTM CS,/app/gtm/cs,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/gtm/CSDashboard.tsx,
M76,GTM RevOps,/app/gtm/revops,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/gtm/,
M77,AI Operations,/app/ai-operations,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/AIOperations.tsx,
M78,Community,/app/community,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/Community.tsx,
M79,Support,/app/support,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/Support.tsx,
M80,Docs,/app/docs,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/Docs.tsx,
M81,Release Notes,/app/release-notes,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/ReleaseNotes.tsx,
M82,Forensic Command Center,/app/forensic-command-center,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/,
M83,Public Proposal,/public/proposal/:token & /p/:token,CORE_UNIVERSAL,,3,active,M10,none,1,medium,CORE_UNIVERSAL,src/pages/ProposalPublicView.tsx,Herda hardcode LEGAL do M12
M84,Public Form,/f/:token,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/PublicFormView.tsx,
M85,Schedule Demo,/agendar-demo,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/ScheduleDemo.tsx,
M86,Onboarding,/onboarding,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/Onboarding.tsx,
M87,Auth (Login/Signup/Reset),/login /signup /reset-password,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/,
M88,Admin Command Center,/admin,CONTROL_PLANE,,4,active,none,none,0,none,CONTROL_PLANE,src/pages/admin/,
M89,Admin Organizations,/admin/organizations,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M90,Admin Users,/admin/users,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M91,Admin Revenue Integrity,/admin/revenue-integrity,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M92,Admin Backup,/admin/backup,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M93,Admin AI Control,/admin/ai,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M94,Admin PLG Score,/admin/plg-score,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M95,Admin Control Room,/admin/control-room,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M96,Admin Forensic Export,/admin/forensic,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M97,Admin Trash,/admin/trash,CONTROL_PLANE,,4,active,M88,none,0,none,CONTROL_PLANE,src/pages/admin/,
M98,Trash (tenant),/app/trash,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/,
M99,Territories,/app/territories,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/,
M100,Dynamic Dashboard,/app/dynamic-dashboard,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/DynamicDashboardPage.tsx,
