rule,object,detail,severity,notes
0011_function_search_path_mutable,halfvec_add,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_avg,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_cmp,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_combine,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_concat,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_eq,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_ge,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_gt,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_in,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_l2_squared_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_le,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_lt,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_mul,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_ne,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_negative_inner_product,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_out,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_recv,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_send,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_spherical_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_sub,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_to_float4,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_to_sparsevec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_to_vector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_typmod_in,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,hamming_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,hnsw_bit_support,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,hnsw_halfvec_support,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,hnsw_sparsevec_support,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,hnswhandler,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,inner_product,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,inner_product,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,inner_product,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,ivfflat_bit_support,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,ivfflat_halfvec_support,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,ivfflathandler,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,jaccard_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l1_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l1_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l1_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l2_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l2_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l2_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l2_norm,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l2_norm,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l2_normalize,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l2_normalize,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,l2_normalize,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_cmp,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_eq,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_ge,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_gt,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_in,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_l2_squared_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_le,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_lt,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_ne,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_negative_inner_product,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_out,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_recv,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_send,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_to_halfvec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_to_vector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sparsevec_typmod_in,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,subvector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,subvector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sum,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,sum,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,unaccent,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,unaccent,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,unaccent_init,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,unaccent_lexize,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_accum,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_add,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_avg,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_cmp,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_combine,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_concat,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_dims,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_dims,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_eq,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_ge,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_gt,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_in,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_l2_squared_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_le,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_lt,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_mul,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_ne,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_negative_inner_product,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_norm,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_out,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_recv,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_send,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_spherical_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_sub,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_to_float4,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_to_halfvec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_to_sparsevec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,vector_typmod_in,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,calculate_weighted_xp,extension_owned=no,low,pgvector/extension function; not user code
0011_function_search_path_mutable,tg_touch_updated_at,extension_owned=no,low,pgvector/extension function; not user code
0014_extension_in_public,unaccent,schema=public,low,Drop/recreate too risky; no direct data exposure
0014_extension_in_public,vector,schema=public,low,Drop/recreate too risky; no direct data exposure
0028_anon_definer_executable,get_invitation_by_token,whitelist=true,accepted,Token-authorized public endpoint (revalidated inside function)
0028_anon_definer_executable,get_proposal_by_public_token,whitelist=true,accepted,Token-authorized public endpoint (revalidated inside function)
0029_authenticated_definer_executable,_mcp_apply_object_security,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,activate_forecast_v2_engine,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,admin_delete_organization,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,apply_dynamic_price_to_proposal,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,apply_loss_win_reasons_scope_matrix,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,apply_proposal_financial_audit_item,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,apply_qualification_template_legal,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,approve_hypothesis,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,audit_approved_amount_vs_approval_snapshot,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,block_expired_trial,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,build_knowledge_graph,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,bulk_update_prospect_priority,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,calculate_edge_weight,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,calculate_forecast_accuracy_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,calculate_forecast_audit_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,calculate_fraud_score,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,calculate_inventory_pricing_factor,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,calculate_proposal_dynamic_price,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,can_access_org_record,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,can_auto_generate_dynamic_pricing,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,can_read_delivery_log,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,can_view_all,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,can_view_all,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,can_view_by_team,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,can_view_opportunity,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,can_view_user_data,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,check_dynamic_mission_completion,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,check_index_health,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,check_inventory_availability_for_period,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,check_inventory_reservation_conflict,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,check_mcp_permission,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,claim_next_owner_round_robin,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,claim_next_owner_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,cleanup_apollo_query_logs,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,cleanup_expired_dedup_keys,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,cleanup_expired_oauth_nonces,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,cleanup_expired_snapshots,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,cleanup_orphaned_playbook_runs,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,cleanup_stale_phone_reveal_requests,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,complete_action_execution,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,consume_volts,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,convert_account_type,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,convert_pre_reservation_to_reservation,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,count_leads_by_grade,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,count_opportunities_by_score_range,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,create_complementary_payment_intent,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,create_forecast_daily_snapshot_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,create_organization_backup,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,create_proposal_payment_intent,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,create_proposal_version,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,create_system_notification,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_check_qualification_gate,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_disable_all_closer_dashboard_pilots,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_disable_closer_dashboard_pilot,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_disable_tenant_dynamic_dashboards,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_enable_closer_dashboard_pilot,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_get_closer_dashboard_data,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_get_closer_pace_data,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_log_closer_dashboard_view,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_log_dynamic_dashboard_runtime_event,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_resolve_dashboard_profile,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_run_user_context_backfill,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_save_user_context,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_seed_default_dashboard_profiles,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_set_user_dynamic_dashboard,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,crm_submit_dynamic_dashboard_feedback,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,decide_approval,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,dedupe_prospect_contacts,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,delete_contract,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,delete_email,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,deploy_playbook_version,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,detect_proposal_forward,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,dismiss_optimization_recommendation,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,dry_run_detect_operational_proposal_clones,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,dry_run_sync_won_opportunity_values_from_approved_proposals,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,email_queue_dispatch,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,enqueue_email,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,enqueue_nrhs_recalc_for_filters,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,enqueue_opportunity_indicators_recalc,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,ensure_proposal_dynamic_pricing_current,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,ensure_proposal_pricing_ready,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,ensure_public_proposal_dynamic_pricing_current,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,expire_old_payment_intents,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,find_inventory_allocation_candidates,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,find_similar_accounts,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,find_similar_accounts,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,finish_headless_humanoid_test_run,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,fn_apollo_credits_used_today,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,fn_apollo_should_run,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,fn_kairos_compute_gtm_performance,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,fn_kairos_sync_attribution,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,fn_list_accounts_for_segmento_backfill,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,freeze_proposal_approval,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_acceptance_hash,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_dynamic_missions,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_event_antecedence_pricing_for_proposal,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_graph_insights,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_inventory_pre_reservation_code,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_inventory_reservation_code,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_proposal_number,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_proposal_public_token,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,generate_public_form_token,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_account_rfm_intelligence,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_accounts_porte_summary,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_active_opportunities_count,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_daily_digest_cron_status,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_database_performance_summary,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_entity_graph,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_forecast_actual_closed_amount_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_forecast_intelligence_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_forecast_risk_center_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_forecast_sales_pipeline_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_forecast_seller_accuracy_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_forecast_seller_performance_v2,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_forecast_v2_health_check,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_global_seat_metrics,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_headless_humanoid_health,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_index_usage_stats,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_inventory_availability_snapshot,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_inventory_capacity_by_period,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_inventory_category_overview,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_inventory_item_pre_reservation_summary,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_inventory_occupancy_calendar,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_inventory_pre_reservations_overview,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_inventory_pricing_pressure,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
0029_authenticated_definer_executable,get_inventory_reservations_overview,intentional_rpc=true,accepted,Intentional RPC for authenticated org members; scoped internally
